Housing type,Energy,Heating system,DPE,Wall,Floor,Roof,Windows,Efficiency,clusters,Weight
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,2.6,2.5,1,0.514018691588785
Multi-family,Electricity,Electricity-Heat pump,A,0.4,0.3,0.2,1.3,2.5,0,0.2336448598130841
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.3,0.2,1.3,2.5,4,0.1588785046728972
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.9,0.2,1.3,2.5,2,0.06542056074766354
Multi-family,Electricity,Electricity-Heat pump,A,0.2,0.5,0.5,1.3,2.5,3,0.028037383177570093
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.3,0.3,2.6,2.5,0,0.4944944944944945
Multi-family,Electricity,Electricity-Heat pump,B,0.4,2.0,0.3,2.6,2.5,3,0.2222222222222222
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.5,2.5,2.6,2.5,1,0.12712712712712712
Multi-family,Electricity,Electricity-Heat pump,B,1.0,0.9,0.3,2.6,2.5,4,0.07907907907907907
Multi-family,Electricity,Electricity-Heat pump,B,0.4,0.9,0.2,4.3,2.5,2,0.07707707707707707
Multi-family,Electricity,Electricity-Performance boiler,C,0.2,0.3,0.2,2.6,0.95,2,0.49525275853220424
Multi-family,Electricity,Electricity-Performance boiler,C,0.4,0.3,0.2,1.3,0.95,0,0.3833718244803695
Multi-family,Electricity,Electricity-Heat pump,C,2.5,0.9,0.3,2.6,2.5,1,0.06081601231716705
Multi-family,Electricity,Electricity-Heat pump,C,0.5,0.9,2.5,2.6,2.5,3,0.041313831152168336
Multi-family,Electricity,Electricity-Performance boiler,C,0.2,2.0,0.3,1.3,0.95,4,0.01924557351809084
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.3,0.3,2.6,0.95,0,0.7041107365817659
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,2.0,0.3,2.6,0.95,2,0.22203163332469034
Multi-family,Electricity,Electricity-Performance boiler,D,0.4,0.5,0.3,4.3,0.95,4,0.050621297644454194
Multi-family,Electricity,Electricity-Performance boiler,D,0.2,0.5,2.5,2.6,0.95,3,0.01674412110816363
Multi-family,Electricity,Electricity-Heat pump,D,2.5,2.0,2.5,3.0,2.5,1,0.006492211340925863
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.5,2.5,2.6,0.95,0,0.3333083011669996
Multi-family,Electricity,Electricity-Performance boiler,E,0.4,2.0,2.5,2.6,0.95,2,0.22266111953860712
Multi-family,Electricity,Electricity-Performance boiler,E,0.5,0.9,0.5,4.3,0.95,3,0.1675553085715144
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,0.5,0.3,2.6,0.95,1,0.15394782295249396
Multi-family,Electricity,Electricity-Performance boiler,E,1.0,2.0,0.3,2.6,0.95,4,0.12252744777038495
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,2.0,0.3,2.6,0.95,3,0.31509300151510267
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,0.3,2.6,0.95,0,0.30074788046807
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.5,2.5,2.6,0.95,2,0.14208117081976726
Multi-family,Electricity,Electricity-Performance boiler,F,1.0,2.0,2.5,3.0,0.95,1,0.134779665387963
Multi-family,Electricity,Electricity-Performance boiler,F,2.5,0.9,0.3,4.3,0.95,4,0.10729828180909706
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,2.6,0.95,1,0.6475362753177992
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,2.5,4.3,0.95,3,0.14400239754251892
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.5,2.5,2.6,0.95,0,0.12674508628655629
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,0.5,2.5,4.3,0.95,4,0.06488349441822132
Multi-family,Electricity,Electricity-Performance boiler,G,2.5,2.0,0.5,4.3,0.95,2,0.016832746434904223
Multi-family,Heating,Heating-District heating,A,0.2,0.3,0.2,2.6,2.55,1,0.3557692307692308
Multi-family,Heating,Heating-District heating,A,0.4,0.3,0.2,1.3,2.09,2,0.3269230769230769
Multi-family,Heating,Heating-District heating,A,0.4,0.3,0.3,2.6,2.55,4,0.21153846153846154
Multi-family,Heating,Heating-District heating,A,0.2,2.0,0.2,2.6,2.55,3,0.0673076923076923
Multi-family,Heating,Heating-District heating,A,0.4,0.3,2.5,1.3,3.64,0,0.038461538461538464
Multi-family,Heating,Heating-District heating,B,0.4,0.3,0.3,2.6,0.97,0,0.7589034076351524
Multi-family,Heating,Heating-District heating,B,0.4,2.0,0.3,2.6,0.98,3,0.11341702963532325
Multi-family,Heating,Heating-District heating,B,0.4,0.5,0.3,1.3,0.84,1,0.10111879750619182
Multi-family,Heating,Heating-District heating,B,0.4,0.9,2.5,2.6,1.67,2,0.023913229139977794
Multi-family,Heating,Heating-District heating,B,2.5,0.9,0.5,2.6,3.64,4,0.0026475360833546845
Multi-family,Heating,Heating-District heating,C,0.5,0.5,0.3,2.6,0.73,2,0.31318950057062117
Multi-family,Heating,Heating-District heating,C,0.5,0.9,2.5,2.6,0.95,1,0.29492962339003315
Multi-family,Heating,Heating-District heating,C,0.5,2.0,0.3,2.6,0.84,0,0.23053094940492364
Multi-family,Heating,Heating-District heating,C,0.5,0.9,0.5,4.3,0.95,4,0.12200423890005978
Multi-family,Heating,Heating-District heating,C,2.5,2.0,2.5,2.6,1.67,3,0.03934568773436226
Multi-family,Heating,Heating-District heating,D,2.5,0.5,0.5,2.6,0.91,0,0.24640037157454714
Multi-family,Heating,Heating-District heating,D,0.5,0.9,2.5,2.6,0.6,1,0.24059451927542963
Multi-family,Heating,Heating-District heating,D,2.5,2.0,2.5,2.6,0.95,3,0.21580352995819788
Multi-family,Heating,Heating-District heating,D,2.5,2.0,0.3,2.6,0.91,4,0.1623316302833256
Multi-family,Heating,Heating-District heating,D,2.5,0.9,2.5,4.3,0.95,2,0.13486994890849976
Multi-family,Heating,Heating-District heating,E,2.5,2.0,2.5,2.6,0.68,1,0.362425709883337
Multi-family,Heating,Heating-District heating,E,2.5,0.5,2.5,2.6,0.63,0,0.2179176755447942
Multi-family,Heating,Heating-District heating,E,2.5,2.0,0.3,2.6,0.6,2,0.2023992956196346
Multi-family,Heating,Heating-District heating,E,2.5,2.0,2.5,4.3,0.68,3,0.16090688972044903
Multi-family,Heating,Heating-District heating,E,1.0,2.0,2.5,3.0,0.51,4,0.05635042923178516
Multi-family,Heating,Heating-District heating,F,2.5,2.0,2.5,2.6,0.51,1,0.5623425692695214
Multi-family,Heating,Heating-District heating,F,2.5,2.0,2.5,4.3,0.56,2,0.19395465994962216
Multi-family,Heating,Heating-District heating,F,2.5,0.5,2.5,3.0,0.51,4,0.11523929471032746
Multi-family,Heating,Heating-District heating,F,2.5,2.0,0.3,3.0,0.43,0,0.09319899244332494
Multi-family,Heating,Heating-District heating,F,1.0,2.0,2.5,3.0,0.29,3,0.03526448362720403
Multi-family,Heating,Heating-District heating,G,2.5,2.0,2.5,3.0,0.29,3,0.3803418803418803
Multi-family,Heating,Heating-District heating,G,2.5,0.3,0.5,3.0,0.29,2,0.2564102564102564
