,Oil fuel,Natural gas,Electricity,Wood fuel
2018,0.061943731,0.059370569,0.115147572,0.0559
2019,0.061943731,0.059370569,0.115147572,0.0559
2020,0.048280504,0.048604211,0.116622981,0.0565708
2021,0.05315134,0.051745207,0.118173587,0.057266139
2022,0.058022176,0.054886204,0.119724194,0.057961477
2023,0.062893012,0.058027201,0.121274801,0.058656816
2024,0.067763848,0.061168198,0.122825407,0.059352155
2025,0.072634685,0.064309195,0.124376014,0.060047493
2026,0.074717667,0.064667112,0.12606047,0.060785566
2027,0.07680065,0.065025028,0.127744925,0.061523638
2028,0.078883633,0.065382945,0.129429381,0.06226171
2029,0.080966616,0.065740861,0.131113836,0.062999783
2030,0.083049598,0.066098778,0.132798292,0.063737855
2031,0.084122719,0.067296888,0.134629123,0.064521288
2032,0.085195839,0.068494997,0.136459953,0.06530472
2033,0.086268959,0.069693107,0.138290784,0.066088152
2034,0.087342079,0.070891217,0.140121615,0.066871585
2035,0.088415199,0.072089326,0.141952446,0.067655017
2036,0.089467987,0.073888864,0.14394341,0.068486597
2037,0.090520774,0.075688401,0.145934374,0.069318177
2038,0.091573561,0.077487938,0.147925339,0.070149757
2039,0.092626349,0.079287475,0.149916303,0.070981337
2040,0.093679136,0.081087013,0.151907267,0.071812917
2041,0.094789194,0.080843664,0.154073481,0.072695604
2042,0.095899252,0.080600316,0.156239694,0.073578291
2043,0.097009311,0.080356967,0.158405907,0.074460978
2044,0.098119369,0.080113619,0.16057212,0.075343665
2045,0.099229427,0.079870271,0.162738333,0.076226351
2046,0.101498138,0.080332902,0.165096404,0.077163286
2047,0.10376685,0.080795534,0.167454474,0.07810022
2048,0.106035562,0.081258165,0.169812545,0.079037155
2049,0.108304273,0.081720797,0.172170616,0.079974089
2050,0.110572985,0.082183428,0.174528687,0.080911024
