,Friction,Friction biased,No friction,No friction biased
Carbon tax + EU-ETS 2,0.257,0.248,0.234,0.216
WCO 2024,0.42,0.279,0.031,-0.195
Subsidies 2024,0.607,0.332,0.337,-0.217
Zero interest loan,0.311,0.151,0.299,0.016
Mandatory renovation,0.346,-0.36,0.219,-0.266
Ban gas,-1.251,-1.319,-2.509,-2.666
