Housing type,Occupancy status,
Single-family,Owner-occupied,0.030557685
Single-family,Privately rented,0.011612487
Single-family,Social-housing,0.015974204
Multi-family,Owner-occupied,0.017682774
Multi-family,Privately rented,0.006719782
Multi-family,Social-housing,0.015974204
