year,Electricity-Portable unit,Electricity-Heat pump air
2000,200000,
2001,225000,
2002,250000,
2003,350000,
2004,700000,471000
2005,300000,303000
2006,400000,327000
2007,500000,353000
2008,400000,383000
2009,368000,332000
2010,418000,379000
2011,388000,361000
2012,342000,334000
2013,344000,352000
2014,319000,346000
2015,349000,399000
2016,359000,447000
2017,364000,484000
2018,409000,572000
2019,400000,728000
2020,496000,823000
2021,,840000
2022,,773000
2023,,966250
