Housing type,Occupancy status,Income owner,Income tenant,Wall,Floor,Roof,Windows,Heating system,Stock buildings
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Standard boiler,1297.4363236559861
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Oil fuel-Standard boiler,47.83749719015598
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Wood fuel-Standard boiler,6.162053800430042
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Electricity-Heat pump,743.2668133333333
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Wood fuel-Performance boiler,7.012334170871073
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.2,1.3,Electricity-Performance boiler,4859.369307359486
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.2,1.3,Oil fuel-Standard boiler,2.5537724967163924
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.3,1.3,Oil fuel-Performance boiler,43.049307801790725
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.3,2.6,Oil fuel-Performance boiler,69.49909437492488
Multi-family,Owner-occupied,D1,D1,0.2,0.9,0.2,1.3,Electricity-Heat pump,92.90835166666663
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.2,1.3,Wood fuel-Performance boiler,1.0885572900630183
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Natural gas-Performance boiler,369.287904363499
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Electricity-Heat pump,318.5429199999999
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,2.6,Natural gas-Performance boiler,2674.3794791805144
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Heat pump,645.10546821881
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Performance boiler,12182.026010598927
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Natural gas-Standard boiler,7960.958789593654
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Oil fuel-Standard boiler,130.81368911701605
Multi-family,Owner-occupied,D1,D1,0.4,0.9,0.3,2.6,Wood fuel-Standard boiler,33.04850699994265
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Electricity-Heat pump,145.86779695393474
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Natural gas-Performance boiler,2892.4464658442084
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Oil fuel-Performance boiler,146.40628694150357
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,2.6,Wood fuel-Performance boiler,8.832346951526523
Multi-family,Owner-occupied,D1,D1,0.4,0.9,2.5,3.0,Wood fuel-Standard boiler,62.98288068926
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Electricity-Heat pump,279.40873782725515
Multi-family,Owner-occupied,D1,D1,0.4,2.0,0.3,2.6,Electricity-Performance boiler,3793.6314290806204
Multi-family,Owner-occupied,D1,D1,0.5,0.5,2.5,2.6,Electricity-Performance boiler,5422.579309283171
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.2,3.0,Wood fuel-Performance boiler,35.3293878061061
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.3,2.6,Natural gas-Performance boiler,8466.979654562138
Multi-family,Owner-occupied,D1,D1,0.5,0.9,0.3,2.6,Oil fuel-Performance boiler,604.8286629814359
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,2.6,Electricity-Heat pump,310.2582393587731
Multi-family,Owner-occupied,D1,D1,0.5,0.9,2.5,3.0,Oil fuel-Standard boiler,430.05112674153844
Multi-family,Owner-occupied,D1,D1,0.5,2.0,2.5,2.6,Electricity-Performance boiler,4338.786880003445
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,3.0,Electricity-Performance boiler,5988.665300713384
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.3,3.0,Wood fuel-Standard boiler,38.980258475365176
Multi-family,Owner-occupied,D1,D1,1.0,0.9,0.5,4.3,Natural gas-Performance boiler,4611.456259748633
Multi-family,Owner-occupied,D1,D1,1.0,0.9,2.5,2.6,Natural gas-Standard boiler,14313.879581276606
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Electricity-Performance boiler,1016.08616413856
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,3.0,Oil fuel-Performance boiler,417.8840423944269
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Natural gas-Standard boiler,217.3913430206597
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Oil fuel-Standard boiler,10.245786670646575
Multi-family,Owner-occupied,D1,D1,1.0,2.0,2.5,4.3,Wood fuel-Standard boiler,2.4272059196153863
Multi-family,Owner-occupied,D1,D1,2.5,0.3,2.5,4.3,Natural gas-Standard boiler,253.17692230171784
Multi-family,Owner-occupied,D1,D1,2.5,0.3,2.5,4.3,Oil fuel-Standard boiler,19.680044474521882
Multi-family,Owner-occupied,D1,D1,2.5,0.3,2.5,4.3,Wood fuel-Standard boiler,3.143773804476394
Multi-family,Owner-occupied,D1,D1,2.5,0.5,0.5,2.6,Electricity-Performance boiler,5067.904221275806
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,3.0,Electricity-Performance boiler,2414.3123113001775
Multi-family,Owner-occupied,D1,D1,2.5,0.5,2.5,4.3,Wood fuel-Standard boiler,3.143773804476394
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,2.6,Electricity-Heat pump,479.4900062817399
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,2.6,Natural gas-Performance boiler,10770.14572897476
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,2.6,Oil fuel-Performance boiler,1218.478192434359
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.3,2.6,Wood fuel-Performance boiler,78.92062183928616
Multi-family,Owner-occupied,D1,D1,2.5,0.9,0.5,3.0,Wood fuel-Standard boiler,73.71041134832016
Multi-family,Owner-occupied,D1,D1,2.5,0.9,2.5,4.3,Natural gas-Standard boiler,112.7788108434925
Multi-family,Owner-occupied,D1,D1,2.5,0.9,2.5,4.3,Oil fuel-Standard boiler,14.312759617834097
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.3,3.0,Oil fuel-Standard boiler,327.99998644320266
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.5,2.6,Electricity-Performance boiler,5487.903204585634
Multi-family,Owner-occupied,D1,D1,2.5,2.0,0.5,4.3,Electricity-Performance boiler,58.61150606082821
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,2.6,Natural gas-Standard boiler,10057.307320052803
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Heat pump,100.89026032044866
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Electricity-Performance boiler,6836.938510638993
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Natural gas-Performance boiler,6178.831326926534
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Oil fuel-Performance boiler,989.796917577474
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,3.0,Wood fuel-Performance boiler,40.11277151364389
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Natural gas-Standard boiler,5622.256946854789
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Oil fuel-Standard boiler,726.0524116461431
Multi-family,Owner-occupied,D1,D1,2.5,2.0,2.5,4.3,Wood fuel-Standard boiler,60.243108702393464
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Natural gas-Standard boiler,9079.56046808988
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Oil fuel-Standard boiler,76.27998495413436
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,1.3,Wood fuel-Standard boiler,26.119182186188077
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,2.6,Electricity-Heat pump,2588.754443494253
Multi-family,Owner-occupied,D10,D10,0.2,0.3,0.2,2.6,Wood fuel-Performance boiler,69.04403925101093
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.2,1.3,Electricity-Performance boiler,28089.236687289587
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.2,1.3,Oil fuel-Standard boiler,25.144661421567125
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.3,1.3,Oil fuel-Performance boiler,423.86714967784695
Multi-family,Owner-occupied,D10,D10,0.2,0.5,0.3,2.6,Oil fuel-Performance boiler,684.2940001155073
Multi-family,Owner-occupied,D10,D10,0.2,0.9,0.2,1.3,Electricity-Heat pump,323.5943054367815
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.2,1.3,Wood fuel-Performance boiler,10.718027753767037
Multi-family,Owner-occupied,D10,D10,0.2,2.0,0.3,1.3,Natural gas-Performance boiler,2537.5261834806165
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.2,1.3,Electricity-Heat pump,1109.4661900689653
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.2,2.6,Natural gas-Performance boiler,18376.7404044295
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,2.6,Electricity-Heat pump,6002.647918161228
Multi-family,Owner-occupied,D10,D10,0.4,0.3,0.3,2.6,Electricity-Performance boiler,70492.33660354679
Multi-family,Owner-occupied,D10,D10,0.4,0.9,0.3,2.6,Natural gas-Standard boiler,48325.06312335703
Multi-family,Owner-occupied,D10,D10,0.4,0.9,0.3,2.6,Oil fuel-Standard boiler,900.429912248449
Multi-family,Owner-occupied,D10,D10,0.4,0.9,0.3,2.6,Wood fuel-Standard boiler,227.48279984124196
Multi-family,Owner-occupied,D10,D10,0.4,0.9,2.5,2.6,Electricity-Heat pump,1357.2866311765836
Multi-family,Owner-occupied,D10,D10,0.4,0.9,2.5,2.6,Natural gas-Performance boiler,17557.892426922976
Multi-family,Owner-occupied,D10,D10,0.4,0.9,2.5,2.6,Oil fuel-Performance boiler,1007.7584463307611
Multi-family,Owner-occupied,D10,D10,0.4,0.9,2.5,2.6,Wood fuel-Performance boiler,60.795696873870824
Multi-family,Owner-occupied,D10,D10,0.4,0.9,2.5,3.0,Wood fuel-Standard boiler,428.9771051539303
Multi-family,Owner-occupied,D10,D10,0.4,2.0,0.3,2.6,Electricity-Heat pump,2599.872983662187
Multi-family,Owner-occupied,D10,D10,0.4,2.0,0.3,2.6,Electricity-Performance boiler,21952.173096320417
Multi-family,Owner-occupied,D10,D10,0.5,0.5,2.5,2.6,Electricity-Performance boiler,22993.293960926392
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.2,3.0,Wood fuel-Performance boiler,243.18278749548335
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.3,2.6,Natural gas-Performance boiler,51396.73964971999
Multi-family,Owner-occupied,D10,D10,0.5,0.9,0.3,2.6,Oil fuel-Performance boiler,4163.217348350735
Multi-family,Owner-occupied,D10,D10,0.5,0.9,2.5,2.6,Electricity-Heat pump,1793.4255596362334
Multi-family,Owner-occupied,D10,D10,0.5,0.9,2.5,3.0,Oil fuel-Standard boiler,2929.083036515183
Multi-family,Owner-occupied,D10,D10,0.5,2.0,2.5,2.6,Electricity-Performance boiler,18397.70273068037
Multi-family,Owner-occupied,D10,D10,1.0,0.9,0.3,3.0,Electricity-Performance boiler,25393.661178393235
Multi-family,Owner-occupied,D10,D10,1.0,0.9,0.3,3.0,Wood fuel-Standard boiler,265.49497666538974
Multi-family,Owner-occupied,D10,D10,1.0,0.9,0.5,4.3,Natural gas-Performance boiler,29090.274325346116
Multi-family,Owner-occupied,D10,D10,1.0,0.9,2.5,2.6,Natural gas-Standard boiler,90295.70275095793
Multi-family,Owner-occupied,D10,D10,1.0,2.0,2.5,3.0,Electricity-Performance boiler,3965.2903998447373
Multi-family,Owner-occupied,D10,D10,1.0,2.0,2.5,3.0,Oil fuel-Performance boiler,2846.21288887715
Multi-family,Owner-occupied,D10,D10,1.0,2.0,2.5,4.3,Natural gas-Standard boiler,1134.1203539829369
Multi-family,Owner-occupied,D10,D10,1.0,2.0,2.5,4.3,Oil fuel-Standard boiler,55.305601878075336
Multi-family,Owner-occupied,D10,D10,1.0,2.0,2.5,4.3,Wood fuel-Standard boiler,13.101784038793086
Multi-family,Owner-occupied,D10,D10,2.5,0.3,2.5,4.3,Natural gas-Standard boiler,1169.85359486938
Multi-family,Owner-occupied,D10,D10,2.5,0.3,2.5,4.3,Oil fuel-Standard boiler,83.65068843034622
Multi-family,Owner-occupied,D10,D10,2.5,0.3,2.5,4.3,Wood fuel-Standard boiler,13.36271588990542
Multi-family,Owner-occupied,D10,D10,2.5,0.5,0.5,2.6,Electricity-Performance boiler,19777.566770623984
Multi-family,Owner-occupied,D10,D10,2.5,0.5,2.5,3.0,Electricity-Performance boiler,8333.11816998735
Multi-family,Owner-occupied,D10,D10,2.5,0.5,2.5,4.3,Wood fuel-Standard boiler,13.36271588990542
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.3,2.6,Electricity-Heat pump,2771.657683074177
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.3,2.6,Natural gas-Performance boiler,67940.90112369593
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.3,2.6,Oil fuel-Performance boiler,8299.068603459686
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.3,2.6,Wood fuel-Performance boiler,537.5292384703212
Multi-family,Owner-occupied,D10,D10,2.5,0.9,0.5,3.0,Wood fuel-Standard boiler,397.88049423071783
