Housing type,Energy performance,Heating energy,Occupancy status,Income owner,Income tenant,Stock buildings
Multi-family,A,Electricity,Social-housing,D10,D1,4162.321113
Single-family,A,Electricity,Social-housing,D10,D1,1618.652411
Multi-family,A,Electricity,Owner-occupied,D1,D1,1154.718085
Single-family,A,Electricity,Owner-occupied,D1,D1,5032.777538
Multi-family,A,Electricity,Social-housing,D10,D2,4298.192125
Single-family,A,Electricity,Social-housing,D10,D2,2190.893264
Multi-family,A,Electricity,Owner-occupied,D2,D2,1528.153314
Single-family,A,Electricity,Owner-occupied,D2,D2,7943.335625
Multi-family,A,Electricity,Social-housing,D10,D3,3179.958102
Single-family,A,Electricity,Social-housing,D10,D3,1686.61963
Multi-family,A,Electricity,Owner-occupied,D3,D3,1766.162742
Single-family,A,Electricity,Owner-occupied,D3,D3,11704.43406
Multi-family,A,Electricity,Social-housing,D10,D4,2752.024788
Single-family,A,Electricity,Social-housing,D10,D4,1228.696593
Multi-family,A,Electricity,Owner-occupied,D4,D4,2015.02237
Single-family,A,Electricity,Owner-occupied,D4,D4,14657.38232
Multi-family,A,Electricity,Social-housing,D10,D5,2023.645638
Single-family,A,Electricity,Social-housing,D10,D5,1149.975965
Multi-family,A,Electricity,Owner-occupied,D5,D5,2457.258558
Single-family,A,Electricity,Owner-occupied,D5,D5,19370.07277
Multi-family,A,Electricity,Social-housing,D10,D6,1681.453802
Single-family,A,Electricity,Social-housing,D10,D6,649.2094067
Multi-family,A,Electricity,Owner-occupied,D6,D6,3134.824096
Single-family,A,Electricity,Owner-occupied,D6,D6,20426.81857
Multi-family,A,Electricity,Social-housing,D10,D7,1322.29223
Single-family,A,Electricity,Social-housing,D10,D7,441.3486941
Multi-family,A,Electricity,Owner-occupied,D7,D7,3149.67253
Single-family,A,Electricity,Owner-occupied,D7,D7,23154.97653
Multi-family,A,Electricity,Social-housing,D10,D8,755.7021347
Single-family,A,Electricity,Social-housing,D10,D8,183.7524789
Multi-family,A,Electricity,Owner-occupied,D8,D8,3916.483761
Single-family,A,Electricity,Owner-occupied,D8,D8,22809.40199
Multi-family,A,Electricity,Social-housing,D10,D9,527.6498837
Single-family,A,Electricity,Social-housing,D10,D9,108.6083061
Multi-family,A,Electricity,Owner-occupied,D9,D9,4109.458955
Single-family,A,Electricity,Owner-occupied,D9,D9,22043.8784
Multi-family,A,Electricity,Social-housing,D10,D10,183.4684312
Single-family,A,Electricity,Social-housing,D10,D10,122.3109958
Multi-family,A,Electricity,Owner-occupied,D10,D10,4021.814939
Single-family,A,Electricity,Owner-occupied,D10,D10,19442.84643
Multi-family,A,Natural gas,Social-housing,D10,D1,12091.72147
Single-family,A,Natural gas,Social-housing,D10,D1,1885.877057
Multi-family,A,Natural gas,Owner-occupied,D1,D1,672.1390132
Single-family,A,Natural gas,Owner-occupied,D1,D1,829.8388345
Multi-family,A,Natural gas,Social-housing,D10,D2,12596.90915
Single-family,A,Natural gas,Social-housing,D10,D2,2802.646985
Multi-family,A,Natural gas,Owner-occupied,D2,D2,1251.38863
Single-family,A,Natural gas,Owner-occupied,D2,D2,1371.133799
Multi-family,A,Natural gas,Social-housing,D10,D3,9474.842425
Single-family,A,Natural gas,Social-housing,D10,D3,2148.83539
Multi-family,A,Natural gas,Owner-occupied,D3,D3,1397.473977
Single-family,A,Natural gas,Owner-occupied,D3,D3,2144.437521
Multi-family,A,Natural gas,Social-housing,D10,D4,7997.535417
Single-family,A,Natural gas,Social-housing,D10,D4,1551.846175
Multi-family,A,Natural gas,Owner-occupied,D4,D4,1736.607641
Single-family,A,Natural gas,Owner-occupied,D4,D4,2595.819964
Multi-family,A,Natural gas,Social-housing,D10,D5,6264.443847
Single-family,A,Natural gas,Social-housing,D10,D5,1303.392165
Multi-family,A,Natural gas,Owner-occupied,D5,D5,2176.867864
Single-family,A,Natural gas,Owner-occupied,D5,D5,3423.624733
Multi-family,A,Natural gas,Social-housing,D10,D6,4797.281152
Single-family,A,Natural gas,Social-housing,D10,D6,851.9418467
Multi-family,A,Natural gas,Owner-occupied,D6,D6,2951.500523
Single-family,A,Natural gas,Owner-occupied,D6,D6,3790.562732
Multi-family,A,Natural gas,Social-housing,D10,D7,3922.887443
Single-family,A,Natural gas,Social-housing,D10,D7,621.5954535
Multi-family,A,Natural gas,Owner-occupied,D7,D7,3171.057168
Single-family,A,Natural gas,Owner-occupied,D7,D7,4241.338567
Multi-family,A,Natural gas,Social-housing,D10,D8,2271.410205
Single-family,A,Natural gas,Social-housing,D10,D8,311.7348546
Multi-family,A,Natural gas,Owner-occupied,D8,D8,3969.674961
Single-family,A,Natural gas,Owner-occupied,D8,D8,4368.688989
Multi-family,A,Natural gas,Social-housing,D10,D9,1518.006036
Single-family,A,Natural gas,Social-housing,D10,D9,196.107609
Multi-family,A,Natural gas,Owner-occupied,D9,D9,4353.644326
Single-family,A,Natural gas,Owner-occupied,D9,D9,4550.627304
Multi-family,A,Natural gas,Social-housing,D10,D10,477.9737481
Single-family,A,Natural gas,Social-housing,D10,D10,149.659449
