Housing type,Occupancy status,Income owner,Income tenant,Wall,Floor,Roof,Windows,Heating system,Stock buildings
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Electricity-Heat pump,278.725055
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Performance boiler,672.1390132
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Natural gas-Standard boiler,625.2973104559862
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Oil fuel-Performance boiler,47.83749719015598
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,1.3,Wood fuel-Performance boiler,4.187461506827357
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Electricity-Heat pump,517.632245
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Electricity-Performance boiler,2020.7078836159055
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Natural gas-Performance boiler,768.7834082659348
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Wood fuel-Performance boiler,3.468194156712408
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.2,2.6,Wood fuel-Standard boiler,1.7214394354484943
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,1.3,Natural gas-Performance boiler,791.9425679124529
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,1.3,Oil fuel-Performance boiler,34.87723581229826
Multi-family,Owner-occupied,D1,D1,0.2,0.3,0.3,2.6,Oil fuel-Performance boiler,38.01472773683554
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.2,1.3,Oil fuel-Standard boiler,2.5537724967163924
Multi-family,Owner-occupied,D1,D1,0.2,0.5,0.5,1.3,Electricity-Heat pump,26.54524333333329
Multi-family,Owner-occupied,D1,D1,0.2,0.5,2.5,1.3,Electricity-Performance boiler,264.36401024592567
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.2,1.3,Electricity-Performance boiler,260.8989740062406
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.2,1.3,Wood fuel-Performance boiler,0.9366655751705042
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Electricity-Heat pump,13.272621666666645
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Natural gas-Performance boiler,369.287904363499
Multi-family,Owner-occupied,D1,D1,0.2,2.0,0.3,1.3,Oil fuel-Performance boiler,9.631370559044704
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Electricity-Heat pump,318.5429199999999
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,1.3,Electricity-Performance boiler,2577.7624497373395
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,2.6,Natural gas-Performance boiler,1113.6535030021266
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.2,2.6,Wood fuel-Performance boiler,3.0631495836657026
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,1.3,Wood fuel-Performance boiler,0.8860350035396661
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Heat pump,528.000335452975
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Electricity-Performance boiler,11336.124234224666
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Oil fuel-Performance boiler,30.0250680685371
Multi-family,Owner-occupied,D1,D1,0.4,0.3,0.3,2.6,Wood fuel-Standard boiler,22.663219925070806
Multi-family,Owner-occupied,D1,D1,0.4,0.5,0.3,3.0,Wood fuel-Performance boiler,17.470576387634885
